frame_index,color_timestamp_usec,depth_timestamp_usec,color_path,depth_path
1,301866,301844,color/frame_000001.jpg,depth/frame_000001.png
2,335177,335200,color/frame_000002.jpg,depth/frame_000002.png
3,368522,368511,color/frame_000003.jpg,depth/frame_000003.png
4,401833,401866,color/frame_000004.jpg,depth/frame_000004.png
5,435166,435188,color/frame_000005.jpg,depth/frame_000005.png
6,468500,468533,color/frame_000006.jpg,depth/frame_000006.png
7,501833,501855,color/frame_000007.jpg,depth/frame_000007.png
8,535166,535200,color/frame_000008.jpg,depth/frame_000008.png
9,568511,568522,color/frame_000009.jpg,depth/frame_000009.png
10,601833,601866,color/frame_000010.jpg,depth/frame_000010.png
11,635166,635200,color/frame_000011.jpg,depth/frame_000011.png
12,668511,668533,color/frame_000012.jpg,depth/frame_000012.png
13,701844,701855,color/frame_000013.jpg,depth/frame_000013.png
14,735166,735200,color/frame_000014.jpg,depth/frame_000014.png
15,768511,768533,color/frame_000015.jpg,depth/frame_000015.png
16,801844,801866,color/frame_000016.jpg,depth/frame_000016.png
17,835188,835188,color/frame_000017.jpg,depth/frame_000017.png
18,868511,868533,color/frame_000018.jpg,depth/frame_000018.png
19,901855,901844,color/frame_000019.jpg,depth/frame_000019.png
20,935166,935200,color/frame_000020.jpg,depth/frame_000020.png
21,968511,968533,color/frame_000021.jpg,depth/frame_000021.png
22,1001844,1001866,color/frame_000022.jpg,depth/frame_000022.png
23,1035177,1035188,color/frame_000023.jpg,depth/frame_000023.png
24,1068511,1068533,color/frame_000024.jpg,depth/frame_000024.png
25,1101855,1101844,color/frame_000025.jpg,depth/frame_000025.png
26,1135166,1135200,color/frame_000026.jpg,depth/frame_000026.png
27,1168511,1168533,color/frame_000027.jpg,depth/frame_000027.png
28,1201844,1201866,color/frame_000028.jpg,depth/frame_000028.png
29,1235188,1235177,color/frame_000029.jpg,depth/frame_000029.png
30,1268500,1268533,color/frame_000030.jpg,depth/frame_000030.png
31,1301844,1301855,color/frame_000031.jpg,depth/frame_000031.png
32,1335166,1335200,color/frame_000032.jpg,depth/frame_000032.png
33,1368500,1368522,color/frame_000033.jpg,depth/frame_000033.png
34,1401833,1401866,color/frame_000034.jpg,depth/frame_000034.png
35,1435177,1435188,color/frame_000035.jpg,depth/frame_000035.png
